sku,name,barcode,family_id,family,id_group,group,Esistenza,Scarto,stock_quantity,Esercizio,Listino1,Listino2,Listino3
000000000009705,"WHISKY BALLANTINES PURE MALT 12 Y CL.70",5010106110478,9,WHISKY,032,DISTILLATI,"1,000",2,"-1,000",2021,"20,56500","22,62500","15,46000"
000000000032903,"RUM S.TERESA SELECTO CL.70",0024223300150,8,RUM,032,DISTILLATI,"15,000",2,"13,000",2021,"22,22500","24,44500","16,70000"
000000000033206,"GIN BOMBAY LT. 1 ///",5010677716000,11,GIN,032,DISTILLATI,"34,000",2,"32,000",2021,"17,97500","19,77500","13,51000"
000000000233697,"RUM ZACAPA 23Y  CL.70 ///",7401005002106,8,RUM,032,DISTILLATI,"54,000",2,"52,000",2021,"48,56500","53,42400","36,51000"
000000000233979,"CHERRY STOCK CL. 0,70",8000440352129,13,LIQUORI,010,"AMARI E LIQUORI","6,000",2,"4,000",2021,"10,35500","11,39500","6,90000"
000000000234351,"RUM BALLY PYRAMID 7Y CL. 70 ///",3306230070705,8,RUM,032,DISTILLATI,"13,000",2,"11,000",2021,"48,27500","53,10500","36,29000"
000000000234508,"DE KUYPER PEACH TREE CL. 70 ///",8710625525636,13,LIQUORI,010,"AMARI E LIQUORI","11,000",2,"9,000",2021,"10,77500","11,85500","7,18000"
000000000234509,"CHAMPAGNE DOM PERIGNON CL. 75 2010 XXXX ///",3185370445648,00116,CHAMPAGNE,033,BOLLICINE,"39,000",0,"39,000",2021,"138,00500","151,81500","128,00000"
000000000235015,"WHISKY CHIVAS REGAL LT. 1",5000299212905,9,WHISKY,032,DISTILLATI,"14,000",2,"12,000",2021,"29,94500","32,94500","22,51000"
000000000235054,"SAMBUCA MOLINARI AL CAFFE' CL. 70",8002095200060,13,LIQUORI,010,"AMARI E LIQUORI","10,000",2,"8,000",2021,"11,46500","12,60500","8,18000"
000000000235356,"VODKA BORYSKA-VLADIVASTOK BELLINI LT. 2",8007525103700,7,VODKA,032,DISTILLATI,"77,000",2,"75,000",2021,"13,56500","14,92500","10,19800"
000000000235447,"ALCHERMES BELLINI LT. 2",8007525103300,13,LIQUORI,010,"AMARI E LIQUORI","25,000",2,"23,000",2021,"9,87500","10,86500","7,41900"
000000000235660,"RUM ZACAPA 25Y CENTENARIO XO CL. 70",7401005008610,8,RUM,032,DISTILLATI,"16,000",2,"14,000",2021,"112,50500","123,76500","90,00000"
000000000235772,"RUM S.TERESA CLARO LT. 1",024223002030,8,RUM,032,DISTILLATI,"9,000",2,"7,000",2021,"12,92500","14,22500","6,86000"
000000000235797,"RUM SANTA TERESA GRAN RESERVE CL. 70",024223301157,8,RUM,032,DISTILLATI,"12,000",2,"10,000",2021,"16,63500","18,30500","12,50000"
000000000235967,"PASSOA LT. 1 ///",3035540001825,13,LIQUORI,010,"AMARI E LIQUORI","16,000",2,"14,000",2021,"12,64500","13,91500","9,49900"
000000000236089,"BOLS APRICOT CL. 70 XXXXX ///",8716000965240,13,LIQUORI,010,"AMARI E LIQUORI","9,000",2,"7,000",2021,"10,44500","11,49500","6,96000"
000000000009709,"WHISKY SOUTHERN COMFORT LT.1 ///",5099873015377,9,WHISKY,032,DISTILLATI,"1,000",2,"-1,000",2021,"18,21500","20,04500","13,68900"
000000000009719,"LIME ROSE'S LT.1",5701125254372,13,LIQUORI,010,"AMARI E LIQUORI","24,000",2,"22,000",2021,"4,26500","4,69500","3,20500"
000000000033004,"VINO ZANZI LAMBRUSCO CL.75",8008530003128,15,"VINO ROSSO",009,VINI,"51,000",2,"49,000",2021,"1,70500","1,88500","1,27500"
000000000233907,"RUM BARBANCOURT 5 STELLE 8Y CL.70 HAITI",0089016005827,8,RUM,032,DISTILLATI,"6,000",2,"4,000",2021,"28,70500","31,58500","19,13000"
000000000234147,"GRAPPA BIANCA VENETA LT. 2",8007525003105,5,GRAPPA,032,DISTILLATI,"19,000",2,"17,000",2021,"13,70500","15,08500","10,30200"
000000000234939,"PUNCH PICENO MELETTI CL. 70",8000655550709,4,PUNCH,010,"AMARI E LIQUORI","19,000",2,"17,000",2021,"9,28500","10,21500","6,18300"
000000000235156,"CACHACA NEGA FULO LT. 1",8008099532558,00113,MEZCAL/PISCO/CACHACA,032,DISTILLATI,"0,000",2,"-2,000",2021,"17,70500","19,46500","13,30000"
000000000235278,"GIN BELLINI LT. 2",8007525102907,11,GIN,032,DISTILLATI,"139,000",2,"137,000",2021,"13,71500","15,09500","10,30800"
000000000236370,"PUNCH ABRUZZO EVANGELISTA LT.1",8008255191100,4,PUNCH,010,"AMARI E LIQUORI","110,000",2,"108,000",2021,"15,76500","17,34500","10,50700"
000000000236379,"MARZADRO ANIMA NERA  CL.70",80573999,5,GRAPPA,032,DISTILLATI,"38,000",2,"36,000",2021,"14,73500","16,21500","11,07700"
000000000236403,"ROSSO ANTICO CL.75",8000060407049,13,LIQUORI,010,"AMARI E LIQUORI","4,000",2,"2,000",2021,"15,69500","17,27500","11,80000"
000000000236623,"BATIDA DE COCO LT.1 ///",7640109120204,13,LIQUORI,010,"AMARI E LIQUORI","22,000",2,"20,000",2021,"11,70500","12,88500","8,80000"
000000000236683,"WHISKY JIM BEAM  LT.1 ///",5010196092142,9,WHISKY,032,DISTILLATI,"32,000",2,"30,000",2021,"15,15500","16,67500","11,39200"
000000000236772,"GRAPPA RAMETZ PINOT CL.70",8016683013536,5,GRAPPA,032,DISTILLATI,"7,000",2,"5,000",2021,"10,99500","12,10500","8,26000"
000000000237149,"VINO BIANCO CIVITAS LT.1 COLONNELLA",801070200050,14,"VINO BIANCO",009,VINI,"12,000",2,"10,000",2021,"1,57500","1,73500","1,18000"
