Codice;Descrizione1;BarCode;IDFamiglia;Famiglia;IDGruppo;Gruppo;Esistenza;Scarto;EsistenzaNetta;Esercizio;Listino 1;Listino2;ListinoLM
000000000242733;GIN DRY LONDON NGIN LT.1 ///;8000420001085;11;GIN;032;DISTILLATI;196,000;2;194,000;2021;8,65500;9,52500;6,50000
000000000242751;RUM SAILOR JERRY CL.70;5010327405223;8;RUM;032;DISTILLATI;0,000;2;-2,000;2021;13,51500;14,87500;10,16000
000000000242753;VERMOUTH NOILLY PRAT LT.1;3023010003585;00114;VERMOUTH;013;APERITIVI;11,000;2;9,000;2021;15,69500;17,27500;11,80000
000000000242779;COCCHI VERMOUTH AMARO CL.75  16° DOPO TEATRO;8007117010153;00114;VERMOUTH;013;APERITIVI;10,000;2;8,000;2021;18,00500;19,81500;12,00000
000000000242780;COCCHI ROSA CL.75 16.5°;8007117010085;00114;VERMOUTH;013;APERITIVI;5,000;2;3,000;2021;13,08500;14,40500;8,72000
000000000242810;RUM LEGENDARIO ANEJO BLANCO CL.70 ///;8500000194195;8;RUM;032;DISTILLATI;264,000;2;262,000;2021;11,51500;12,67500;7,67000
000000000242821;SILENT POOL GIN 43 CL.70 (FRANCOLI);80058730000036;11;GIN;032;DISTILLATI;20,000;0;20,000;2021;40,42500;44,47500;26,94800
000000000242824;GRAPPA FRATTINA FUMO DI ROVERE CL.70 ///;8000400015569;5;GRAPPA;032;DISTILLATI;26,000;2;24,000;2021;12,58500;13,84500;9,45800
000000000242857;VINO NEBBIOLO D'ALBA 2017 CL.75 13°  CERETTO;8033254936940;15;VINO ROSSO;009;VINI;2,000;0;2,000;2021;17,96500;19,76500;13,50000
000000000242883;DE KUYPER TRIPLE SEC CL.70;871062552703;13;LIQUORI;010;AMARI E LIQUORI;54,000;2;52,000;2021;12,14500;13,36500;8,09500
000000000242914;WHISKY STRATHMILL 25 Y  CL.70 C/ASTUCCIO;5000281038803;9;WHISKY;032;DISTILLATI;2,000;0;2,000;2021;393,90500;433,30500;262,60000
000000000242917;GIN JINZU CL.70 41,3° ///;5010103936026;11;GIN;032;DISTILLATI;6,000;0;6,000;2021;34,29500;37,73500;22,86000
000000000242967;BIRRA BLANCHE DE NAMUR 4,5° CL.33 ///;5411633205338;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;388,000;2;386,000;2021;1,42500;1,57500;1,06900
