ID,COD,Nome
11337,000000000241525,"Vino Bianco Igt 14.5° Capichera 2017 Cl.75"
11397,9509,"Vino Anthilia Doc 2019 Cl.75 12.5° Donna Fugata"
11398,000000000250450,"Vino Friuliano Rassauer Cl.75 14,5° 2019 Castello Di Spessa"
11399,000000000250451,"Vino Ribolla Gialla Venezia Giulia Cl.75 13° 2019 La Boatina"
11400,000000000250455,"Vino Sauvignon Friuli Isonzo Cl.75 13,5° 2019 La Boatina"
11401,000000000250496,"Vino Passerina Marta Igp 2019 Cl.75  13° Sangiovanni"
11403,000000000249133,"Vino Rosso Piceno Il Maschio Da Monte S.Barbara 2017 Cl.75"
11404,000000000249210,"Vino Barbera D'Alba Cl.75 14°  Ceretto"
11405,000000000250795,"Vino Rosso Lambrusco Cl.75 12° Vecchio Moro Rinaldini"
11406,000000000250965,"Vino Amarone Della Valpolicella Classico Costasera Cl.75 15° Con Astuccio Masi"
11407,000000000250968,"Vino Recioto Classico Della Valpolicella Angelorum Docg Ml.375 14° Con Astuccio Masi"
11408,000000000250969,"Vino Rosso Verona Brolo Campofiorin Cl.75 14° Con Astuccio Masi"
11409,000000000251035,"Vino Gruener Veltliner Doc Cl.75 Abbazia Di Novacella"
11410,000000000250858,"Vino Bolgheri Rosso Le Serre Dell'Ornellaia 2018 Cl.75 14° Con Astuccio"
11411,000000000250856,"Vino Rosso Doc Bolgheri 2017 14,5° Cl.75 Ornellaia"
11412,000000000250435,"Vino Rosso Doc Bolgheri L'Infinito 2011 14,5° Cl.75 Ornellaia"
11413,000000000244485,"Vino La Grola 2012 13,5° Cl.75 Tubo Alluminio Allegrini"
11414,000000000248575,"Vino Verdicchio Matelica Del Cerro 2019 Doc Cl.75  12.5° Belisario"
11415,000000000248209,"Vino Tertulia Trebbiano D'Abruzzo Doc 2019 Cl.75 12.5°  Savini"
11416,000000000248210,"Vino Tertulia Passerina D'Abruzzo Doc 2019 Cl.75 12.5°  Savini"
11417,000000000247328,"Vino Verdicchio Jesi Serra Del Conte 2019 Cl.75  12.5° Garofoli"
11418,000000000247031,"Le Caniette Veronica 2019 Pecorino Cl.75 13.5°"
11419,000000000247184,"Vino Vigna Di Gabri 2016 Doc Cl.75 13° Donna Fugata"
11420,000000000247324,"Vino Verdicchio Jesi Podium Cl.150 14° Garofoli"
