reference;image;name;category_defalt;associations_categories;price;quantity;active;state;null
1241;https://maracana.info//pant-tuta-new-era-vikings.jpg;PANT TUTA NEW ERA VIKINGS;14;7#14;50;0;1;1;
1218;https://maracana.info//sweatshirt-new-era-cavaliers.jpg;SWEATSHIRT NEW ERA CAVALIERS;13;7#13;60;1;1;1;
1217;https://maracana.info//sweatshirt-new-era-redskins.jpg;SWEATSHIRT NEW ERA REDSKINS;13;7#13;50;2;1;1;
1211;https://maracana.info/502/hoodie-new-era-buccaners.jpg;HOODIE NEW ERA BUCCANERS;13;7#13;65;0;1;1;
1194;https://maracana.info/503/hoodie-new-era-eagle.jpg;HOODIE NEW ERA EAGLE;13;7#13;65;31;1;1;
1178;https://maracana.info/505/hoodie-new-era-vikings.jpg;HOODIE NEW ERA VIKINGS;13;7#13;65;6;1;1;
1177;https://maracana.info/507/hoodie-new-era-seahawks.jpg;HOODIE NEW ERA SEAHAWKS;13;7#13;65;4;1;1;
1176;https://maracana.info/508/hoodie-new-era-raiders.jpg;HOODIE NEW ERA RAIDERS;13;7#13;65;2;1;1;
1175;https://maracana.info/510/hoodie-new-era-red-skin.jpg;HOODIE NEW ERA RED SKIN;13;7#13;65;13;1;1;
1174;https://maracana.info/511/hoodie-new-era-patriots.jpg;HOODIE NEW ERA PATRIOTS;13;7#13;65;2;1;1;
1173;https://maracana.info/513/hoodie-new-era-panther.jpg;HOODIE NEW ERA PANTHER;13;7#13;65;17;1;1;
1172;https://maracana.info//sweatshirt-new-era-lakers.jpg;SWEATSHIRT NEW ERA LAKERS;13;7#13;60;0;1;1;
1171;https://maracana.info/515/hoodie-new-era-lakers.jpg;HOODIE NEW ERA LAKERS;13;7#13;65;5;1;1;
1162;https://maracana.info/517/hoodie-new-era-jaguar.jpg;HOODIE NEW ERA JAGUAR;13;7#13;65;35;1;1;
1161;https://maracana.info//sweatshirt-new-era-patriots.jpg;SWEATSHIRT NEW ERA PATRIOTS;13;7#13;60;3;1;1;
1160;https://maracana.info//sweatshirt-new-era-raiders.jpg;SWEATSHIRT NEW ERA RAIDERS;13;7#13;60;1;1;1;
1159;https://maracana.info//sweatshirt-new-era-logo-nfl.jpg;SWEATSHIRT NEW ERA LOGO NFL;13;7#13;60;0;1;1;
1158;https://maracana.info/519/hoodie-new-era-falcons.jpg;HOODIE NEW ERA FALCONS;13;7#13;65;18;1;1;
1156;https://maracana.info/521/hoodie-new-era-broncos.jpg;HOODIE NEW ERA BRONCOS;13;7#13;65;1;1;1;
1155;https://maracana.info/523/hoodie-new-era-baltimora.jpg;HOODIE NEW ERA BALTIMORA;13;7#13;65;8;1;1;
1149;https://maracana.info//sweatshirt-new-era-vikings-big-logo.jpg;SWEATSHIRT NEW ERA VIKINGS BIG LOGO;13;7#13;50;0;1;1;
1147;https://maracana.info//swatshirt-new-era-packers.jpg;SWATSHIRT NEW ERA PACKERS;13;7#13;60;1;1;1;
1124;https://maracana.info//cap-new-era-golde-state.jpg;CAP NEW ERA GOLDE STATE;9;7#9;25;0;1;1;
1123;https://maracana.info//cap-new-era-golden-state.jpg;CAP NEW ERA GOLDEN STATE;9;7#9;25;0;1;1;
1120;https://maracana.info/960/cap-new-era-silvestro.jpg;CAP NEW ERA SILVESTRO;9;7#9;25;3;1;1;
1119;https://maracana.info/959/cap-new-era-bugs.jpg;CAP NEW ERA BUGS;9;7#9;25;3;1;1;
1118;https://maracana.info/958/cap-new-era-coyote.jpg;CAP NEW ERA COYOTE;9;7#9;25;0;1;1;
1112;https://maracana.info/613/cap-new-era-rip-city.jpg;CAP NEW ERA RIP CITY;9;7#9;25;2;1;1;
1111;https://maracana.info/956/cap-new-era-air-max.jpg;CAP NEW ERA AIR MAX;9;7#9;25;3;1;1;
1110;https://maracana.info//cap-new-era-palma.jpg;CAP NEW ERA PALMA;9;7#9;25;0;1;1;
1109;https://maracana.info//cap-new-era-canestro.jpg;CAP NEW ERA CANESTRO;9;7#9;25;1;1;1;
1108;https://maracana.info/957/cap-new-era-lakers-est.jpg;CAP NEW ERA LAKERS EST;9;7#9;25;0;1;1;
1107;https://maracana.info/588/cap-new-era-seahawcks-tech.jpg;CAP NEW ERA SEAHAWCKS TECH;9;7#9;32;4;1;1;
1106;https://maracana.info//cap-new-era-raiders-tech.jpg;CAP NEW ERA RAIDERS TECH;9;7#9;32;2;1;1;
1105;https://maracana.info//cap-new-era-celtic-est.jpg;CAP NEW ERA CELTIC EST;9;7#9;25;1;1;1;
1104;https://maracana.info/602/cap-new-era-marlin.jpg;CAP NEW ERA MARLIN;9;7#9;25;25;1;1;
1103;https://maracana.info/582/cap-new-era-raiders.jpg;CAP NEW ERA RAIDERS;9;7#9;25;39;1;1;
1102;https://maracana.info/583/cap-new-era-bucks.jpg;CAP NEW ERA BUCKS;9;7#9;25;39;1;1;
1101;https://maracana.info/603/cap-new-era-spurs.jpg;CAP NEW ERA SPURS;9;7#9;25;2;1;1;
1100;https://maracana.info//cap-new-era-memphis-grizzlies.jpg;CAP NEW ERA MEMPHIS GRIZZLIES;9;7#9;25;2;1;1;
1099;https://maracana.info/584/cap-new-era-braves.jpg;CAP NEW ERA BRAVES;9;7#9;25;6;1;1;
1098;https://maracana.info/585/cap-new-era-packers.jpg;CAP NEW ERA PACKERS;9;7#9;25;1;1;1;
1097;https://maracana.info/586/cap-new-era-miami.jpg;CAP NEW ERA MIAMI;9;7#9;25;15;1;1;
1096;https://maracana.info/587/cap-new-era-jaguar.jpg;CAP NEW ERA JAGUAR;9;7#9;25;149;1;1;
1095;https://maracana.info/589/cap-new-era-bulls.jpg;CAP NEW ERA BULLS;9;7#9;25;41;1;1;
1076;https://maracana.info//cap-new-era-argentina.jpg;CAP NEW ERA ARGENTINA;9;7#9;25;0;1;1;
1075;https://maracana.info/590/cap-new-era-bucaners.jpg;CAP NEW ERA BUCANERS;9;7#9;25;0;1;1;
1073;https://maracana.info/604/cap-new-era-toronto-blu-j.jpg;CAP NEW ERA TORONTO BLU J;9;7#9;25;13;1;1;
1072;https://maracana.info/591/cap-new-era-giants.jpg;CAP NEW ERA GIANTS;9;7#9;25;17;1;1;
1071;https://maracana.info//cap-new-era-chicago-bears.jpg;CAP NEW ERA CHICAGO BEARS;9;7#9;25;2;1;1;
1066;https://maracana.info/964/cap-scritta-maracana.jpg;Cappello New Era Maracana Scritta;9;7#9;25;0;1;1;
1062;https://maracana.info//cap-new-era-bucket.jpg;Cappello New Era Bucket;9;7#9;25;0;1;1;
1050;https://maracana.info/611/cap-new-era-tampa-bay.jpg;CAP NEW ERA TAMPA BAY;9;7#9;25;1;1;1;
1049;https://maracana.info/610/cap-new-era-vikings.jpg;CAP NEW ERA VIKINGS;9;7#9;25;25;1;1;
1048;https://maracana.info/612/cap-new-era-tigers.jpg;CAP NEW ERA TIGERS;9;7#9;25;12;1;1;
1047;https://maracana.info/609/cap-new-era-redskins.jpg;CAP NEW ERA REDSKINS;9;7#9;25;17;1;1;
1046;https://maracana.info/607/cap-new-era-red-sox.jpg;CAP NEW ERA RED SOX;9;7#9;25;15;1;1;
1045;https://maracana.info/608/cap-new-era-raptors.jpg;CAP NEW ERA RAPTORS;9;7#9;25;3;1;1;
1044;https://maracana.info/606/cap-new-era-rams.jpg;CAP NEW ERA RAMS;9;7#9;25;11;1;1;
1043;https://maracana.info/605/cap-new-era-pirates.jpg;CAP NEW ERA PIRATES;9;7#9;25;24;1;1;
1040;https://maracana.info/594/cap-new-era-white-sox.jpg;CAP NEW ERA WHITE SOX;9;7#9;25;27;1;1;
1039;https://maracana.info/615/cap-new-era-seahawks.jpg;CAP NEW ERA SEAHAWKS;9;7#9;25;70;1;1;
1038;https://maracana.info/625/cap-new-era-pellicans.jpg;CAP NEW ERA PELLICANS;9;7#9;25;35;1;1;
1037;https://maracana.info/624/cap-new-era-patriots.jpg;CAP NEW ERA PATRIOTS;9;7#9;25;28;1;1;
1036;https://maracana.info/623/cap-new-era-panters.jpg;CAP NEW ERA PANTERS;9;7#9;25;83;1;1;
1035;https://maracana.info/622/cap-new-era-pacers.jpg;CAP NEW ERA PACERS;9;7#9;25;1;1;1;
1034;https://maracana.info/618/cap-new-era-ny.jpg;CAP NEW ERA NY;9;7#9;25;137;1;1;
1032;https://maracana.info/617/cap-new-era-arizona-cardinals.jpg;CAP NEW ERA ARIZONA CARDINALS;9;7#9;25;7;1;1;
1030;https://maracana.info/599/cap-new-era-la.jpg;CAP NEW ERA LA;9;7#9;25;23;1;1;
1014;https://maracana.info/965/cap-new-era-maracana-logo.jpg;CAP NEW ERA MARACANA LOGO;9;7#9;25;0;1;1;
1013;https://maracana.info/616/cap-new-era-hornets.jpg;CAP NEW ERA HORNETS;9;7#9;25;40;1;1;
1012;https://maracana.info/598/cap-new-era-falcons.jpg;CAP NEW ERA FALCONS;9;7#9;25;62;1;1;
1011;https://maracana.info/595/cap-new-era-eagles.jpg;CAP NEW ERA EAGLES;9;7#9;25;149;1;1;
1010;https://maracana.info/593/cap-new-era-dolphin.jpg;CAP NEW ERA DOLPHIN;9;7#9;25;46;1;1;
1009;https://maracana.info/614/cap-new-era-dbacks.jpg;CAP NEW ERA D.BACKS;9;7#9;25;19;1;1;
1008;https://maracana.info//cap-new-era-cavaliers.jpg;CAP NEW ERA CAVALIERS;9;7#9;25;0;1;1;
1007;https://maracana.info/597/cap-new-era-broncos.jpg;CAP NEW ERA BRONCOS;9;7#9;25;66;1;1;
1006;https://maracana.info/596/cap-new-era-baltimora.jpg;CAP NEW ERA BALTIMORA;9;7#9;25;48;1;1;
1005;https://maracana.info/592/cap-new-era-athletics.jpg;CAP NEW ERA ATHLETICS;9;7#9;25;30;1;1;
945;https://maracana.info//tshirt-new-era-bulls-toppa.jpg;TSHIRT NEW ERA BULLS TOPPA;10;7#10;39;0;1;1;
888;https://maracana.info//tshirt-new-era-lakers-taschino.jpg;TSHIRT NEW ERA LAKERS TASCHINO;10;7#10;39;0;1;1;
887;https://maracana.info//tshirt-new-era-patriots-scritta-big.jpg;TSHIRT NEW ERA PATRIOTS SCRITTA BIG;10;7#10;30;2;1;1;
886;https://maracana.info//tshirt-new-era-la.jpg;TSHIRT NEW ERA L.A.;10;7#10;30;0;1;1;
484;https://maracana.info/527/tshirt-new-era-washington-redskins.jpg;TSHIRT NEW ERA WASHINGTON REDSKINS;10;7#10;30;32;1;1;
483;https://maracana.info/529/tshirt-new-era-tampa-bay-buccaneers.jpg;TSHIRT NEW ERA TAMPA BAY BUCCANEERS;10;7#10;30;0;1;1;
482;https://maracana.info/531/tshirt-new-era-philadelphia-eagles.jpg;TSHIRT NEW ERA PHILADELPHIA EAGLES;10;7#10;30;31;1;1;
481;https://maracana.info/533/tshirt-new-era-oakland-raiders.jpg;TSHIRT NEW ERA OAKLAND RAIDERS;10;7#10;30;38;1;1;
480;https://maracana.info/534/tshirt-new-era-new-england-patriots.jpg;TSHIRT NEW ERA NEW ENGLAND PATRIOTS;10;7#10;30;3;1;1;
479;https://maracana.info/536/tshirt-new-era-minnesota-vikings.jpg;TSHIRT NEW ERA MINNESOTA VIKINGS;10;7#10;30;15;1;1;
477;https://maracana.info/538/tshirt-new-era-jacksonville-jaguars.jpg;TSHIRT NEW ERA JACKSONVILLE JAGUARS;10;7#10;30;119;1;1;
476;https://maracana.info/540/tshirt-new-era-hornets.jpg;TSHIRT NEW ERA HORNETS;10;7#10;30;4;1;1;
475;https://maracana.info//tshirt-new-era-green-bay-packers.jpg;TSHIRT NEW ERA GREEN BAY PACKERS;10;7#10;30;0;1;1;
474;https://maracana.info/541/tshirt-new-era-chicago-bulls.jpg;TSHIRT NEW ERA CHICAGO BULLS;10;7#10;30;82;1;1;
473;https://maracana.info/543/tshirt-new-era-carolina-panthers.jpg;TSHIRT NEW ERA CAROLINA PANTHERS;10;7#10;30;51;1;1;
472;https://maracana.info/545/tshirt-new-era-boston-celtics.jpg;TSHIRT NEW ERA BOSTON CELTICS;10;7#10;30;2;1;1;
448;https://maracana.info/546/tshirt-new-era-denver-broncos.jpg;TSHIRT NEW ERA DENVER BRONCOS;10;7#10;30;4;1;1;
446;https://maracana.info//tshirt-new-eracleveland-cavaliers.jpg;TSHIRT NEW ERACLEVELAND CAVALIERS;10;7#10;30;3;1;1;
432;https://maracana.info/547/tshirt-new-era-seattle-seahawks.jpg;TSHIRT NEW ERA SEATTLE SEAHAWKS;10;7#10;30;19;1;1;
431;https://maracana.info/549/tshirt-new-era-new-orleans-pelicans.jpg;TSHIRT NEW ERA NEW ORLEANS PELICANS;10;7#10;30;1;1;1;
430;https://maracana.info/551/tshirt-new-era-milwaukee-bucks.jpg;TSHIRT NEW ERA MILWAUKEE BUCKS;10;7#10;30;12;1;1;
429;https://maracana.info/553/tshirt-new-era-los-angeles-rams.jpg;TSHIRT NEW ERA LOS ANGELES RAMS;10;7#10;39;12;1;1;
427;https://maracana.info/555/tshirt-new-era-doppio-logo-raiders.jpg;TSHIRT NEW ERA DOPPIO LOGO RAIDERS;10;7#10;39;0;1;1;
426;https://maracana.info//tshirt-new-era-doppio-logo-patriots.jpg;TSHIRT NEW ERA DOPPIO LOGO PATRIOTS;10;7#10;39;0;1;1;
425;https://maracana.info/556/tshirt-new-eradoppio-logo-panters.jpg;TSHIRT NEW ERADOPPIO LOGO PANTERS;10;7#10;39;3;1;1;
424;https://maracana.info//tshirt-new-era-scritta-big-raiders.jpg;TSHIRT NEW ERA SCRITTA BIG RAIDERS;10;7#10;30;0;1;1;
421;https://maracana.info/557/tshirt-new-era-baltimore-ravens.jpg;TSHIRT NEW ERA BALTIMORE RAVENS;10;7#10;30;3;1;1;
352;https://maracana.info/559/tshirt-new-era-miami-dolphins.jpg;TSHIRT NEW ERA MIAMI DOLPHINS;10;7#10;30;33;1;1;
351;https://maracana.info/560/tshirt-new-era-atlanta-falcons.jpg;TSHIRT NEW ERA ATLANTA FALCONS;10;7#10;30;4;1;1;
188;https://maracana.info/525/hoodie-new-era-celtics.jpg;HOODIE NEW ERA CELTICS;13;7#13;65;2;1;1;
161;https://maracana.info//sweatshirt-new-era-celtics.jpg;SWEATSHIRT NEW ERA CELTICS;13;7#13;60;1;1;1;
